`id_grp`,`id_dep`,`dir_code`,`dir_title`,`dir_level`,`title`,`form`,`plan`,`cell`,`podano_budget`,`podano_vnebudget`,`nabor`,`podano`
2425,2,1.5,"Биологические науки",6,"Бюджет/Общие места",0,3,0,0,0,3,0
2426,2,1.5,"Биологические науки",6,"Полное возмещение затрат",0,0,0,0,0,0,0
2427,2,1.5,"Биологические науки",6,"Целевой прием",0,0,2,0,0,2,0
2428,2,1.5,"Биологические науки",6,"Бюджет/Общие места",0,0,0,0,0,0,0
2429,2,1.5,"Биологические науки",6,"Полное возмещение затрат",0,0,0,0,0,0,0
2430,2,1.5,"Биологические науки",6,"Целевой прием",0,0,1,0,0,1,0
2431,2,1.5,"Биологические науки",6,"Бюджет/Общие места",0,0,0,0,0,0,0
2432,2,1.5,"Биологические науки",6,"Полное возмещение затрат",0,0,0,0,0,0,0
2433,2,1.5,"Биологические науки",6,"Целевой прием",0,0,1,0,0,1,0
2434,2,1.5,"Биологические науки",6,"Бюджет/Общие места",0,1,0,0,0,1,0
2435,2,1.5,"Биологические науки",6,"Полное возмещение затрат",0,0,0,0,0,0,0
2436,2,1.5,"Биологические науки",6,"Целевой прием",0,0,1,0,0,1,0
2437,2,2.2,"Электроника, фотоника, приборостроение и связь",6,"Бюджет/Общие места",0,3,0,0,0,3,0
2438,2,2.2,"Электроника, фотоника, приборостроение и связь",6,"Полное возмещение затрат",0,0,0,0,0,0,0
2439,2,2.2,"Электроника, фотоника, приборостроение и связь",6,"Целевой прием",0,0,1,0,0,1,0
2440,2,2.3,"Информационные технологии и телекомуникации",6,"Бюджет/Общие места",0,1,0,1,0,1,1
2441,2,5.3,Психология,6,"Бюджет/Общие места",0,3,0,1,0,3,1
2442,2,5.3,Психология,6,"Полное возмещение затрат",0,0,0,0,0,0,0
2443,2,5.3,Психология,6,"Целевой прием",0,0,1,0,0,1,0
2444,2,5.3,Психология,6,"Бюджет/Общие места",0,3,0,2,0,3,2
2445,2,5.3,Психология,6,"Полное возмещение затрат",0,0,0,0,1,0,1
2446,2,5.3,Психология,6,"Целевой прием",0,0,1,0,0,1,0
2447,2,5.5,Политология,6,"Бюджет/Общие места",0,0,0,0,0,0,0
2448,2,5.5,Политология,6,"Полное возмещение затрат",0,0,0,0,0,0,0
2449,2,5.5,Политология,6,"Целевой прием",0,0,1,0,0,1,0
2450,2,5.6,"Исторические науки",6,"Бюджет/Общие места",0,3,0,1,0,3,1
2451,2,5.6,"Исторические науки",6,"Полное возмещение затрат",0,0,0,0,0,0,0
2452,2,5.6,"Исторические науки",6,"Целевой прием",0,0,2,0,0,2,0
2453,2,5.6,"Исторические науки",6,"Бюджет/Общие места",0,3,0,0,0,3,0
2454,2,5.6,"Исторические науки",6,"Полное возмещение затрат",0,0,0,0,0,0,0
2455,2,5.6,"Исторические науки",6,"Целевой прием",0,0,1,0,0,1,0
2456,2,5.7,Философия,6,"Бюджет/Общие места",0,1,0,1,0,1,1
2457,2,5.7,Философия,6,"Полное возмещение затрат",0,0,0,0,0,0,0
2458,2,5.7,Философия,6,"Целевой прием",0,0,1,0,0,1,0
2459,2,5.7,Философия,6,"Бюджет/Общие места",0,0,0,1,0,0,1
2460,2,5.7,Философия,6,"Полное возмещение затрат",0,0,0,0,0,0,0
2461,2,5.7,Философия,6,"Целевой прием",0,0,1,0,0,1,0
2462,2,5.8,Педагогика,6,"Бюджет/Общие места",0,1,0,1,0,1,1
2463,2,5.8,Педагогика,6,"Полное возмещение затрат",0,0,0,0,3,0,3
2464,2,5.8,Педагогика,6,"Целевой прием",0,0,1,0,0,1,0
2465,2,5.8,Педагогика,6,"Бюджет/Общие места",0,0,0,1,0,0,1
2466,2,5.8,Педагогика,6,"Полное возмещение затрат",0,0,0,0,3,0,3
2467,2,5.8,Педагогика,6,"Целевой прием",0,0,1,0,0,1,0
2468,2,5.9,Филология,6,"Бюджет/Общие места",0,1,0,1,0,1,1
2469,2,5.9,Филология,6,"Полное возмещение затрат",0,0,0,0,0,0,0
2470,2,5.9,Филология,6,"Целевой прием",0,0,1,0,0,1,0
2471,2,5.9,Филология,6,"Бюджет/Общие места",0,1,0,0,0,1,0
2472,2,5.9,Филология,6,"Полное возмещение затрат",0,0,0,0,0,0,0
2473,2,5.9,Филология,6,"Целевой прием",0,0,1,0,0,1,0
2474,2,5.9,Филология,6,"Бюджет/Общие места",0,1,0,1,0,1,1
2475,2,5.9,Филология,6,"Полное возмещение затрат",0,0,0,0,0,0,0
2476,2,5.9,Филология,6,"Целевой прием",0,0,1,0,0,1,0
2477,2,2.3,"Информационные технологии и телекомуникации",6,"Полное возмещение затрат",0,0,0,0,0,0,0
2478,2,2.3,"Информационные технологии и телекомуникации",6,"Целевой прием",0,0,1,0,0,1,0
